nr;y2000;x2000;h
1;7532377.133;5653340.992;198.34
2;7532477.123;5653338.278;197.49
3;7532577.113;5653335.563;199.61
4;7532279.857;5653443.697;185.96
5;7532379.847;5653440.982;186.27
6;7532479.837;5653438.268;185.7
7;7532579.827;5653435.553;184.85
8;7532679.817;5653432.839;182.13
9;7532779.808;5653430.124;196.77
10;7532082.591;5653549.116;194.96
11;7532182.581;5653546.402;188.95
12;7532282.572;5653543.687;190.39
13;7532382.562;5653540.972;189.19
14;7532482.552;5653538.258;188.24
15;7532582.542;5653535.543;187.19
16;7532682.532;5653532.829;185.92
17;7532782.522;5653530.114;184.45
18;7532882.512;5653527.4;182.36
19;7531985.315;5653651.821;191.16
20;7532085.306;5653649.106;191.65
21;7532185.296;5653646.392;191.08
22;7532285.286;5653643.677;190.34
23;7532385.276;5653640.963;189.58
24;7532485.266;5653638.248;188.28
25;7532585.257;5653635.533;187.57
