nr;x;y;h
1;672600.00;352600.00;198.34
2;672700.00;352600.00;197.49
3;672800.00;352600.00;199.61
4;672500.00;352700.00;185.96
5;672600.00;352700.00;186.27
6;672700.00;352700.00;185.70
7;672800.00;352700.00;184.85
8;672900.00;352700.00;182.13
9;673000.00;352700.00;196.77
10;672300.00;352800.00;194.96
11;672400.00;352800.00;188.95
12;672500.00;352800.00;190.39
13;672600.00;352800.00;189.19
14;672700.00;352800.00;188.24
15;672800.00;352800.00;187.19
16;672900.00;352800.00;185.92
17;673000.00;352800.00;184.45
18;673100.00;352800.00;182.36
19;672200.00;352900.00;191.16
20;672300.00;352900.00;191.65
21;672400.00;352900.00;191.08
22;672500.00;352900.00;190.34
23;672600.00;352900.00;189.58
24;672700.00;352900.00;188.28
25;672800.00;352900.00;187.57
